"","cohort","mouse","day","protein"
"516",56,"mouse3","day9",10.00081528
"517",56,"mouse3","day2",8.381852287
"518",56,"mouse3","pair2",1.901348245
"519",56,"mouse3","pair3",8.332180504
"520",56,"mouse3","pair1",3.106395533
"521",56,"mouse3","day6",9.935247287
"522",56,"mouse3","day7",8.838341658
"523",56,"mouse3","day4",9.128278985
"524",56,"mouse3","day5",9.128278985
"525",56,"mouse3","day15",12.36099233
"526",56,"mouse3","day17",11.5289763
"527",56,"mouse3","day19",12.29217553
"528",56,"mouse3","day13",13.00507587
"529",56,"mouse3","day11",9.584373602
"530",56,"mouse3","day1",5.899304122
"531",57,"mouse3","day2",9.49363168803147
"532",57,"mouse3","day5",8.39820811941738
"533",57,"mouse3","day6",8.33440181727758
"534",57,"mouse3","day3",8.92163735764155
"535",57,"mouse3","day4",8.38221455178997
"536",57,"mouse3","day11",8.94188438642639
"537",57,"mouse3","pair1",8.6076200318033
"538",57,"mouse3","pair2",7.93600673816075
"539",57,"mouse3","pair3",8.48922926472299
"540",57,"mouse3","day1",9.19548253967511
"541",57,"mouse3","day19",8.9810710523054
"542",57,"mouse3","day7",8.41155183036298
"543",57,"mouse3","day15",8.4002303540236
"544",57,"mouse3","day9",8.86633643947223
"545",57,"mouse3","day13",8.420137004631
"546",57,"mouse3","day17",8.40663987043273
"547",58,"mouse3","pair1",5.07915017426096
"548",58,"mouse3","day2",8.69712958614402
"549",58,"mouse3","day1",4.81203928025827
"550",58,"mouse3","day13",9.08030715427022
"551",58,"mouse3","pair2",6.05185129792156
"552",58,"mouse3","pair3",6.69369876648695
"553",58,"mouse3","day19",8.8309454660568
"554",58,"mouse3","day4",7.92543593763617
"555",58,"mouse3","day15",9.27849602168148
"556",58,"mouse3","day17",8.91159692298721
"557",58,"mouse3","day3",8.91065218806362
"558",58,"mouse3","day6",8.33561490647238
"559",58,"mouse3","day7",9.61999198518929
"560",58,"mouse3","day9",8.78734096381466
"561",58,"mouse3","day5",7.98906675551796
"562",58,"mouse3","day11",9.31255213278022
"563",53,"mouse4","day6",11.80550977
"564",53,"mouse4","day15",12.54005394
"565",53,"mouse4","day17",11.05374189
"566",53,"mouse4","day14",11.20095543
"567",53,"mouse4","day3",10.89620193
"568",53,"mouse4","day7",10.24698286
"569",53,"mouse4","pair1",5.942243901
